
# `bulktest -T` template script data file, generated by mk_mupdf_bulktest_script
#
# Use this data file with the template script(s) for the latest GerHobbelt/mupdf::bulktest tool
#
# ------------------------------------------------------------------------------------
#
# Every line is an argv-cli style record (row), with the following parameters:
#
#     %2 %3 %4 %5 %6
#
# where:
#
# nr.:     %datarow     -- index number of the test record
# PDF:     %1           -- full RELATIVE path to the PDF
# dir:     %2           -- basedir = path part of that
# name:    %3           -- filename = PDF filename part of that one (with .pdf extension)
# base:    %4           -- basename = PDF filename "    "  "    "   (without the .pdf extension)
# cd root: %5           -- path to root of the repo
#
# Note: latest `bulktest` tool also accepts one-file-per-line input:
# Lines MAY also be a single argument: the full path to the test file.
#

Y:\Qiqqa\Qiqqa-Alt3-old.D.drv\base\101B96DE-F964-44E7-ACD4-3EC8939BB83C\documents\2\2B43E0F081A99E8B15C7DA1783224E9BDCC5849.pdf


"Sample-PDFs-for-format-testing/testset misc 3 OCR/Theory of Thermionic Vacuum Tubes E. Chaffee (1933).pdf"  "Sample-PDFs-for-format-testing/testset misc 3 OCR"    "Theory of Thermionic Vacuum Tubes E. Chaffee (1933).pdf"      "Theory of Thermionic Vacuum Tubes E. Chaffee (1933)"      "./"

"Sample-PDFs-for-format-testing/Qiqqa Tools - test collection/56831E9293475B87B10CB53E84AAD11B8455397.pdf"  "Sample-PDFs-for-format-testing/Qiqqa Tools - test collection"    "56831E9293475B87B10CB53E84AAD11B8455397.pdf"      "56831E9293475B87B10CB53E84AAD11B8455397"      "./"

"artifex-mupdf-test-corpus/pdf/Bug691997.pdf"  "artifex-mupdf-test-corpus/pdf"    "Bug691997.pdf"      "Bug691997"      "./"

"Sample-PDFs-for-format-testing/ICJ-CIJ/133-18554.pdf"  "Sample-PDFs-for-format-testing/ICJ-CIJ"    "133-18554.pdf"      "133-18554"      "./"

"Sample-PDFs-for-format-testing/testset European Unicode extract & OCR/etnologija-i-selo-webpdf2.pdf"  "Sample-PDFs-for-format-testing/testset European Unicode extract & OCR"    "etnologija-i-selo-webpdf2.pdf"      "etnologija-i-selo-webpdf2"      "./"

"Sample-PDFs-for-format-testing/pdfdraw-text-extract-horrors-and-low-quality-files/0A9EF160747476EBB8362C2F33F3967552184.pdf"  "Sample-PDFs-for-format-testing/pdfdraw-text-extract-horrors-and-low-quality-files"    "0A9EF160747476EBB8362C2F33F3967552184.pdf"      "0A9EF160747476EBB8362C2F33F3967552184"      "./"

"Sample-PDFs-for-format-testing/ICJ-CIJ/117-7071.pdf"  "Sample-PDFs-for-format-testing/ICJ-CIJ"    "117-7071.pdf"      "117-7071"      "./"

"digitalcorpora.org/govdocs1/003/003666.pdf"  "digitalcorpora.org/govdocs1/003"    "003666.pdf"      "003666"      "./"
"digitalcorpora.org/govdocs1/999/999891.pdf"  "digitalcorpora.org/govdocs1/999"    "999891.pdf"      "999891"      "./"

"digitalcorpora.org/govdocs1/007/007216.pdf"  "digitalcorpora.org/govdocs1/007"    "007216.pdf"      "007216"      "./"

"artifex-mupdf-test-corpus/pdf/Jbig2_042_18.pdf"  "artifex-mupdf-test-corpus/pdf"    "Jbig2_042_18.pdf"      "Jbig2_042_18"      "./"

"digitalcorpora.org/govdocs1/031/031172.pdf"  "digitalcorpora.org/govdocs1/031"    "031172.pdf"      "031172"      "./"

"digitalcorpora.org/govdocs1/003/003737.pdf"  "digitalcorpora.org/govdocs1/003"    "003737.pdf"      "003737"      "./"

"artifex-mupdf-test-corpus/pdf/Jbig2_042_24.pdf"  "artifex-mupdf-test-corpus/pdf"    "Jbig2_042_24.pdf"      "Jbig2_042_24"      "./"

"Sample-PDFs-for-format-testing/testset misc 4/E3C5755DB55A9F878E6429C59F8E40D574429E3C.pdf"  "Sample-PDFs-for-format-testing/testset misc 4"    "E3C5755DB55A9F878E6429C59F8E40D574429E3C.pdf"      "E3C5755DB55A9F878E6429C59F8E40D574429E3C"      "./"

"Sample-PDFs-for-format-testing/pdfium/testing/resources/goto_action.pdf"  "Sample-PDFs-for-format-testing/pdfium/testing/resources"    "goto_action.pdf"      "goto_action"      "./"

"digitalcorpora.org/govdocs1/013/013104.pdf"  "digitalcorpora.org/govdocs1/013"    "013104.pdf"      "013104"      "./"

"INTRANET_E57B9774-4712-430E-93E0-E67433F7DF07/documents/1/13D1943F462ACBAA5B1C9B883B4FD2742B996F1.pdf"  "INTRANET_E57B9774-4712-430E-93E0-E67433F7DF07/documents/1"    "13D1943F462ACBAA5B1C9B883B4FD2742B996F1.pdf"      "13D1943F462ACBAA5B1C9B883B4FD2742B996F1"      "./"

"artifex-mupdf-test-corpus/pdf/Jbig2_042_02.pdf"  "artifex-mupdf-test-corpus/pdf"    "Jbig2_042_02.pdf"      "Jbig2_042_02"      "./"
"Sample-PDFs-for-format-testing/ICJ-CIJ/57-9421.pdf"  "Sample-PDFs-for-format-testing/ICJ-CIJ"    "57-9421.pdf"      "57-9421"      "./"

"digitalcorpora.org/govdocs1/999/999053.pdf"  "digitalcorpora.org/govdocs1/999"    "999053.pdf"      "999053"      "./"

